,rr,drr,tnsol,dg,tntxm,ffm,cumulative_rr_7d,rr_intensity,days_since_rain,dept_avg_rr,wind_chill,temp_fluctuation,duration_days
rr,1.0,0.5019323469253867,0.2167777471331367,0.00815515098039883,0.12724937597507566,0.14608853017226234,0.9306228159734073,0.6171317860562483,-0.07518805433829373,0.5312831050818758,0.1147330051180267,-0.076797156260541,-0.1300098932178789
drr,0.5019323469253867,1.0,-0.2270774700149384,0.04625909371157444,-0.3848321321027397,0.372792057930182,0.44232240624710867,-0.02205970571235016,-0.13928917677767277,0.3414145285418702,-0.4034804053608586,-0.07045646879401883,-0.030837088092882495
tnsol,0.2167777471331367,-0.2270774700149384,1.0,-0.12013412174385277,0.8979646916269036,-0.14422798735178163,0.21219266411207569,0.3889321137660502,-0.013511431339983067,0.2978322174989744,0.8830129416219978,-0.025755829827481362,-0.3559472122679699
dg,0.00815515098039883,0.04625909371157444,-0.12013412174385277,1.0,-0.13014080554363283,0.011739612988328813,0.002810477102735893,-0.018661775788870055,-0.004027872468281584,0.022584795135734408,-0.12788216364530486,0.0808257201867648,-0.012526931276806765
tntxm,0.12724937597507566,-0.3848321321027397,0.8979646916269036,-0.13014080554363283,1.0,-0.327284209477605,0.12305401315022087,0.40659671818422605,0.03378880496375683,0.16588583903564338,0.9961783034624824,0.00113208010019253,-0.30279765136326997
ffm,0.14608853017226234,0.372792057930182,-0.14422798735178163,0.011739612988328813,-0.327284209477605,1.0,0.1471020563654025,-0.052208147046371965,-0.09641809937805174,0.265223826103972,-0.40204398437580885,-0.07274985040328519,0.04920652072251896
cumulative_rr_7d,0.9306228159734073,0.44232240624710867,0.21219266411207569,0.002810477102735893,0.12305401315022087,0.1471020563654025,1.0,0.5552053615707374,-0.07480229014121131,0.5485187139112969,0.11098139733327744,-0.06531823539315335,-0.12435365186673364
rr_intensity,0.6171317860562483,-0.02205970571235016,0.3889321137660502,-0.018661775788870055,0.40659671818422605,-0.052208147046371965,0.5552053615707374,1.0,-0.08975318056337973,0.29425714359378113,0.3999724745553256,-0.04799374819522476,-0.1492506972567517
days_since_rain,-0.07518805433829373,-0.13928917677767277,-0.013511431339983067,-0.004027872468281584,0.03378880496375683,-0.09641809937805174,-0.07480229014121131,-0.08975318056337973,1.0,-0.04553224498057645,0.04397749550468009,-0.02849499684655759,0.08677703816483318
dept_avg_rr,0.5312831050818758,0.3414145285418702,0.2978322174989744,0.022584795135734408,0.16588583903564338,0.265223826103972,0.5485187139112969,0.29425714359378113,-0.04553224498057645,1.0,0.14610738329539244,-0.042309419475228004,-0.206646960280209
wind_chill,0.1147330051180267,-0.4034804053608586,0.8830129416219978,-0.12788216364530486,0.9961783034624824,-0.40204398437580885,0.11098139733327744,0.3999724745553256,0.04397749550468009,0.14610738329539244,1.0,0.007848574485094824,-0.2969312472542859
temp_fluctuation,-0.076797156260541,-0.07045646879401883,-0.025755829827481362,0.0808257201867648,0.00113208010019253,-0.07274985040328519,-0.06531823539315335,-0.04799374819522476,-0.02849499684655759,-0.042309419475228004,0.007848574485094824,1.0,-0.10628337205728004
duration_days,-0.1300098932178789,-0.030837088092882495,-0.3559472122679699,-0.012526931276806765,-0.30279765136326997,0.04920652072251896,-0.12435365186673364,-0.1492506972567517,0.08677703816483318,-0.206646960280209,-0.2969312472542859,-0.10628337205728004,1.0
