code_commune;RR;DRR;TNSOL;DG;TNTXM;FFM;datetime
66003;0.0;;;;9.8;;2020-01-01
66212;0.2;;;0.0;7.3;1.3;2020-01-01
66206;0.0;;;0.0;9.3;;2020-01-01
66202;0.0;;;0.0;8.4;2.8;2020-01-01
66194;0.0;;;0.0;7.3;1.3;2020-01-01
66004;0.0;;;;5.9;;2020-01-01
66192;0.0;;;;8.0;;2020-01-01
66024;0.2;;;0.0;8.1;;2020-01-01
66187;0.0;;2.6;0.0;8.3;3.1;2020-01-01
66230;0.1;;;;;;2020-01-01
66183;0.0;;;;;;2020-01-01
66136;0.0;0.0;-1.6;0.0;8.1;1.8;2020-01-01
66119;0.0;;;0.0;6.6;;2020-01-01
66088;0.0;;-0.8;0.0;8.3;2.0;2020-01-01
66074;0.0;;;381.0;6.1;;2020-01-01
66067;;;;;4.9;1.9;2020-01-01
66062;0.0;;;;;;2020-01-01
66049;0.0;;;;;;2020-01-01
66037;0.0;;;;;;2020-01-01
66148;0.0;;;0.0;10.1;4.0;2020-01-01
66233;0.0;;;0.0;9.5;1.2;2020-01-01
66026;0.0;;;;;;2020-01-01
66230;0.0;;;;;;2020-01-02
66212;0.2;;;0.0;7.2;0.7;2020-01-02
66062;0.0;;;;;;2020-01-02
66119;0.0;;;144.0;3.9;;2020-01-02
66026;0.0;;;;;;2020-01-02
66187;0.0;;1.3;0.0;5.9;1.6;2020-01-02
66004;0.0;;;;5.9;;2020-01-02
66206;0.0;;;0.0;7.8;;2020-01-02
66183;0.0;;;;;;2020-01-02
66088;0.0;;1.7;0.0;7.5;2.0;2020-01-02
66037;0.0;;;;;;2020-01-02
66202;0.0;;;0.0;7.5;2.6;2020-01-02
66067;;;;;4.3;1.1;2020-01-02
66024;0.0;;;0.0;8.2;;2020-01-02
66192;0.0;;;;6.5;;2020-01-02
66233;0.0;;;0.0;8.0;1.0;2020-01-02
66074;0.0;;;33.0;5.3;;2020-01-02
66003;0.0;;;;8.7;;2020-01-02
