code_commune,rain_24,average_celsius,average_wind,datetime,risk_level,duration_days
1,151.7,6.98,8.5,1990-02-13,54.0,5
1,65.0,4.5,8.5,1990-02-13,54.0,5
1,121.7,2.3,8.5,1990-02-13,54.0,5
1,32.5,6.0,8.5,1990-02-13,54.0,5
1,42.5,22.3,7.4,1990-06-27,54.0,1
1,61.9,2.0,8.2,1991-12-21,54.0,3
1,34.9,16.5,7.9,1992-05-30,54.0,2
1,41.8,17.0,7.9,1993-10-05,54.0,5
1,60.6,18.3,7.4,2007-06-11,54.0,0
1,35.0,23.3,7.4,2016-06-24,54.0,0
2,44.6,20.4,9.8,1987-09-01,54.0,0
2,91.2,21.3,9.8,1987-09-01,54.0,0
2,53.0,27.65,8.4,1988-07-23,54.0,0
2,72.8,27.7,8.4,1988-07-23,54.0,0
2,0.0,7.45,11.1,1988-12-02,54.0,6
2,0.0,2.65,11.1,1988-12-02,54.0,6
2,23.5,17.9,8.4,1989-07-08,54.0,0
2,47.8,15.5,9.1,1992-05-28,54.0,1
2,16.7,20.3,9.1,1992-05-28,54.0,1
2,49.5,14.9,8.7,1992-06-03,54.0,0
2,19.3,13.2,9.1,1993-05-18,54.0,0
2,0.2,13.0,11.1,1993-12-17,54.0,16
2,8.0,10.3,11.1,1993-12-17,54.0,16
2,5.0,6.5,11.1,1993-12-17,54.0,16
2,9.1,10.55,11.1,1993-12-17,54.0,16
2,8.4,7.4,11.1,1993-12-17,54.0,16
2,4.2,10.48,11.1,1993-12-17,54.0,16
2,39.5,13.2,9.1,1994-05-18,54.0,1
2,6.5,5.55,11.5,1995-01-17,54.0,14
2,6.1,4.5,11.5,1995-01-17,54.0,14
2,2.0,5.8,11.5,1995-01-17,54.0,14
2,10.2,3.8,11.5,1995-01-17,54.0,14
2,5.2,4.1,11.5,1995-01-17,54.0,14
2,5.7,6.3,11.5,1995-01-17,54.0,14
2,74.7,22.5,8.1,1995-08-06,54.0,1
2,37.8,13.65,9.1,1996-05-18,54.0,0
2,18.3,11.5,8.7,1997-06-11,54.0,0
2,16.0,7.95,11.1,1999-12-25,54.0,4
2,14.5,8.1,11.1,1999-12-25,60.0,4
2,12.2,7.95,11.1,1999-12-25,54.0,4
2,18.0,7.5,11.1,1999-12-25,54.0,4
2,13.2,7.35,11.1,1999-12-25,54.0,4
2,24.0,6.3,11.1,1999-12-25,54.0,4
2,25.0,7.6,11.1,1999-12-25,54.0,4
2,6.8,6.8,8.3,1999-12-25,54.0,4
2,16.4,8.8,11.1,1999-12-25,54.0,4
2,10.7,7.0,11.1,1999-12-25,60.0,4
2,16.4,9.4,11.1,1999-12-25,54.0,4
2,17.5,6.48,11.1,1999-12-25,60.0,4
2,48.0,17.0,9.1,2000-05-07,54.0,0
2,5.7,18.4,9.1,2000-05-11,54.0,0
2,30.0,8.7,10.7,2001-03-21,54.0,8
2,45.0,7.0,10.3,2002-11-10,54.0,1
2,39.4,7.08,11.5,2003-01-01,54.0,1
2,23.0,4.05,11.5,2003-01-02,54.0,2
2,38.0,22.95,8.1,2004-08-18,54.0,0
2,39.0,11.3,10.3,2004-10-20,54.0,0
2,63.5,16.5,9.1,2006-05-06,54.0,0
2,46.2,16.7,9.8,2008-09-11,54.0,0
2,27.0,4.5,11.5,2011-01-06,54.0,1
2,26.9,22.8,2.7,2015-06-05,54.0,0
2,63.0,18.3,9.1,2018-05-24,54.0,0
2,0.0,23.7,8.7,2021-06-18,54.0,0
