code_commune,rain_24,average_celsius,average_wind,datetime,num_risque_jo,lib_risque_jo,duration_days
1025,35.0,23.3,,2016-06-24,54.0,Inondations et/ou Coulées de Boue,0
1104,151.7,6.98,,1990-02-13,54.0,Inondations et/ou Coulées de Boue,5
1143,65.0,4.5,,1990-02-13,54.0,Inondations et/ou Coulées de Boue,5
1143,42.5,22.3,,1990-06-27,54.0,Inondations et/ou Coulées de Boue,1
1143,61.9,2.0,,1991-12-21,54.0,Inondations et/ou Coulées de Boue,3
1143,34.9,16.5,,1992-05-30,54.0,Inondations et/ou Coulées de Boue,2
1143,60.6,18.3,,2007-06-11,54.0,Inondations et/ou Coulées de Boue,0
1210,121.7,2.3,,1990-02-13,54.0,Inondations et/ou Coulées de Boue,5
1224,32.5,6.0,,1990-02-13,54.0,Inondations et/ou Coulées de Boue,5
1224,41.8,17.0,,1993-10-05,54.0,Inondations et/ou Coulées de Boue,5
2110,53.0,27.65,,1988-07-23,54.0,Inondations et/ou Coulées de Boue,0
2110,16.0,7.95,,1999-12-25,54.0,Inondations et/ou Coulées de Boue,4
2110,16.0,7.95,,1999-12-25,60.0,Mouvement de Terrain,4
2110,11.6,6.7,7.3,1999-12-25,54.0,Inondations et/ou Coulées de Boue,4
2110,11.6,6.7,7.3,1999-12-25,60.0,Mouvement de Terrain,4
2110,30.0,8.7,,2001-03-21,54.0,Inondations et/ou Coulées de Boue,8
2110,29.0,10.0,,2001-03-21,54.0,Inondations et/ou Coulées de Boue,8
2110,26.9,22.8,2.7,2015-06-05,54.0,Inondations et/ou Coulées de Boue,0
2153,47.8,15.5,,1992-05-28,54.0,Inondations et/ou Coulées de Boue,1
2153,14.5,8.1,,1999-12-25,60.0,Mouvement de Terrain,4
2153,14.5,8.1,,1999-12-25,54.0,Inondations et/ou Coulées de Boue,4
2153,5.7,18.4,,2000-05-11,54.0,Inondations et/ou Coulées de Boue,0
2163,44.6,20.4,,1987-09-01,54.0,Inondations et/ou Coulées de Boue,0
2163,0.2,13.0,,1993-12-17,54.0,Inondations et/ou Coulées de Boue,16
2163,6.5,5.55,,1995-01-17,54.0,Inondations et/ou Coulées de Boue,14
2163,37.8,13.65,,1996-05-18,54.0,Inondations et/ou Coulées de Boue,0
2163,12.2,7.95,,1999-12-25,54.0,Inondations et/ou Coulées de Boue,4
2163,12.2,7.95,,1999-12-25,60.0,Mouvement de Terrain,4
2237,0.0,7.45,,1988-12-02,54.0,Inondations et/ou Coulées de Boue,6
2237,23.5,17.9,,1989-07-08,54.0,Inondations et/ou Coulées de Boue,0
2239,91.2,21.3,,1987-09-01,54.0,Inondations et/ou Coulées de Boue,0
2239,6.1,4.5,,1995-01-17,54.0,Inondations et/ou Coulées de Boue,14
2239,18.0,7.5,,1999-12-25,54.0,Inondations et/ou Coulées de Boue,4
2239,18.0,7.5,,1999-12-25,60.0,Mouvement de Terrain,4
2502,72.8,27.7,,1988-07-23,54.0,Inondations et/ou Coulées de Boue,0
2502,0.0,2.65,,1988-12-02,54.0,Inondations et/ou Coulées de Boue,6
2502,8.0,10.3,,1993-12-17,54.0,Inondations et/ou Coulées de Boue,16
2502,2.0,5.8,,1995-01-17,54.0,Inondations et/ou Coulées de Boue,14
2502,13.2,7.35,,1999-12-25,54.0,Inondations et/ou Coulées de Boue,4
2502,13.2,7.35,,1999-12-25,60.0,Mouvement de Terrain,4
2502,23.0,4.05,,2003-01-02,54.0,Inondations et/ou Coulées de Boue,2
2502,38.0,22.95,,2004-08-18,54.0,Inondations et/ou Coulées de Boue,0
2558,5.0,6.5,,1993-12-17,54.0,Inondations et/ou Coulées de Boue,16
2558,10.2,3.8,,1995-01-17,54.0,Inondations et/ou Coulées de Boue,14
2558,74.7,22.5,,1995-08-06,54.0,Inondations et/ou Coulées de Boue,1
2558,24.0,6.3,,1999-12-25,54.0,Inondations et/ou Coulées de Boue,4
2558,24.0,6.3,,1999-12-25,60.0,Mouvement de Terrain,4
