NUM_POSTE;AAAAMMJJ;RR;TM;FFM;DRR;datetime
6006001;20100101;0.0;;;;2010-01-01
6006001;20100102;0.0;;;;2010-01-02
6006001;20100103;4.0;;;;2010-01-03
6006001;20100104;0.4;;;;2010-01-04
6006001;20100105;0.7;;;;2010-01-05
6006001;20100106;0.0;;;;2010-01-06
6006001;20100107;13.2;;;;2010-01-07
6006001;20100108;17.9;;;;2010-01-08
6006001;20100109;4.7;;;;2010-01-09
6006001;20100110;0.0;;;;2010-01-10
6006001;20100111;0.0;;;;2010-01-11
6006001;20100112;6.3;;;;2010-01-12
6006001;20100113;0.7;;;;2010-01-13
6006001;20100114;12.6;;;;2010-01-14
6006001;20100115;0.0;;;;2010-01-15
6006001;20100116;0.1;;;;2010-01-16
6006001;20100117;0.0;;;;2010-01-17
6006001;20100118;0.0;;;;2010-01-18
6006001;20100119;0.0;;;;2010-01-19
6006001;20100120;0.0;;;;2010-01-20
6006001;20100121;0.0;;;;2010-01-21
6006001;20100122;0.0;;;;2010-01-22
6006001;20100123;0.0;;;;2010-01-23
6006001;20100124;1.7;;;;2010-01-24
6006001;20100125;2.3;;;;2010-01-25
6006001;20100126;0.0;;;;2010-01-26
6006001;20100127;0.0;;;;2010-01-27
6006001;20100128;0.0;;;;2010-01-28
6006001;20100129;0.0;;;;2010-01-29
6006001;20100130;0.0;;;;2010-01-30
6006001;20100131;0.0;;;;2010-01-31
6006001;20100201;0.0;;;;2010-02-01
6006001;20100202;0.0;;;;2010-02-02
6006001;20100203;0.0;;;;2010-02-03
6006001;20100204;12.2;;;;2010-02-04
6006001;20100205;14.5;;;;2010-02-05
6006001;20100206;0.0;;;;2010-02-06
6006001;20100207;0.0;;;;2010-02-07
6006001;20100208;4.5;;;;2010-02-08
6006001;20100209;0.0;;;;2010-02-09
6006001;20100210;3.8;;;;2010-02-10
6006001;20100211;20.0;;;;2010-02-11
6006001;20100212;0.0;;;;2010-02-12
6006001;20100213;0.0;;;;2010-02-13
6006001;20100214;0.0;;;;2010-02-14
6006001;20100215;1.8;;;;2010-02-15
6006001;20100216;0.8;;;;2010-02-16
6006001;20100217;25.9;;;;2010-02-17
6006001;20100218;15.2;;;;2010-02-18
6006001;20100219;12.3;;;;2010-02-19
6006001;20100220;0.0;;;;2010-02-20
6006001;20100221;13.0;;;;2010-02-21
6006001;20100222;14.1;;;;2010-02-22
6006001;20100223;0.0;;;;2010-02-23
6006001;20100224;0.0;;;;2010-02-24
6006001;20100225;1.0;;;;2010-02-25
6006001;20100226;2.9;;;;2010-02-26
6006001;20100227;0.0;;;;2010-02-27
6006001;20100228;0.0;;;;2010-02-28
6006001;20100301;0.0;;;;2010-03-01
6006001;20100302;0.0;;;;2010-03-02
6006001;20100303;11.1;;;;2010-03-03
6006001;20100304;0.0;;;;2010-03-04
6006001;20100305;2.5;;;;2010-03-05
6006001;20100306;0.0;;;;2010-03-06
6006001;20100307;0.1;;;;2010-03-07
6006001;20100308;0.0;;;;2010-03-08
6006001;20100309;0.0;;;;2010-03-09
6006001;20100310;0.6;;;;2010-03-10
6006001;20100311;0.0;;;;2010-03-11
6006001;20100312;0.0;;;;2010-03-12
6006001;20100313;0.0;;;;2010-03-13
6006001;20100314;0.0;;;;2010-03-14
6006001;20100315;0.0;;;;2010-03-15
6006001;20100316;0.0;;;;2010-03-16
6006001;20100317;0.0;;;;2010-03-17
6006001;20100318;0.0;;;;2010-03-18
6006001;20100319;0.3;;;;2010-03-19
6006001;20100320;1.1;;;;2010-03-20
6006001;20100321;8.1;;;;2010-03-21
6006001;20100322;1.0;;;;2010-03-22
6006001;20100323;0.0;;;;2010-03-23
6006001;20100324;0.0;;;;2010-03-24
6006001;20100325;0.8;;;;2010-03-25
6006001;20100326;5.8;;;;2010-03-26
6006001;20100327;0.0;;;;2010-03-27
6006001;20100328;0.0;;;;2010-03-28
6006001;20100329;0.0;;;;2010-03-29
6006001;20100330;8.2;;;;2010-03-30
6006001;20100331;1.9;;;;2010-03-31
6006001;20100401;0.2;;;;2010-04-01
6006001;20100402;0.0;;;;2010-04-02
6006001;20100403;0.8;;;;2010-04-03
6006001;20100404;2.0;;;;2010-04-04
6006001;20100405;0.0;;;;2010-04-05
6006001;20100406;0.0;;;;2010-04-06
6006001;20100407;0.0;;;;2010-04-07
6006001;20100408;0.0;;;;2010-04-08
6006001;20100409;0.0;;;;2010-04-09
6006001;20100410;0.0;;;;2010-04-10
6006001;20100411;2.5;;;;2010-04-11
6006001;20100412;2.0;;;;2010-04-12
6006001;20100413;0.0;;;;2010-04-13
6006001;20100414;0.0;;;;2010-04-14
6006001;20100415;0.0;;;;2010-04-15
6006001;20100416;2.0;;;;2010-04-16
6006001;20100417;0.0;;;;2010-04-17
6006001;20100418;0.0;;;;2010-04-18
6006001;20100419;0.0;;;;2010-04-19
6006001;20100420;0.0;;;;2010-04-20
6006001;20100421;0.0;;;;2010-04-21
6006001;20100422;2.2;;;;2010-04-22
6006001;20100423;5.9;;;;2010-04-23
6006001;20100424;0.0;;;;2010-04-24
6006001;20100425;0.0;;;;2010-04-25
