cod_nat_catnat;cod_commune;lib_risque_jo;dat_deb;dat_fin;duration_days
IOCE1012624A;06088;Chocs Mécaniques liés à l'action des Vagues;2010-01-01;2010-01-02;1
IOCE1012624A;06004;Chocs Mécaniques liés à l'action des Vagues;2010-01-01;2010-01-02;1
IOCE1012624A;06027;Chocs Mécaniques liés à l'action des Vagues;2010-01-01;2010-01-01;0
IOCE1012624A;06027;Chocs Mécaniques liés à l'action des Vagues;2010-01-01;2010-01-01;0
IOCE1012624A;06029;Chocs Mécaniques liés à l'action des Vagues;2010-01-01;2010-01-01;0
IOCE1012624A;06029;Chocs Mécaniques liés à l'action des Vagues;2010-01-01;2010-01-01;0
IOCE1012624A;06004;Chocs Mécaniques liés à l'action des Vagues;2010-01-01;2010-01-02;1
IOCE1012624A;06088;Chocs Mécaniques liés à l'action des Vagues;2010-01-01;2010-01-02;1
IOCE1012624A;06088;Mouvement de Terrain;2010-01-01;2010-01-02;1
IOCE1012624A;06123;Chocs Mécaniques liés à l'action des Vagues;2010-01-01;2010-01-02;1
IOCE1012624A;06123;Chocs Mécaniques liés à l'action des Vagues;2010-01-01;2010-01-02;1
IOCE1012624A;06161;Chocs Mécaniques liés à l'action des Vagues;2010-01-01;2010-01-01;0
IOCE1012624A;06161;Chocs Mécaniques liés à l'action des Vagues;2010-01-01;2010-01-01;0
IOCE1012624A;06155;Chocs Mécaniques liés à l'action des Vagues;2010-01-01;2010-01-02;1
IOCE1009831A;22249;Inondations et/ou Coulées de Boue;2010-01-05;2010-01-12;7
IOCE1009831A;22354;Inondations et/ou Coulées de Boue;2010-01-05;2010-01-12;7
IOCE1009831A;22351;Inondations et/ou Coulées de Boue;2010-01-05;2010-01-12;7
IOCE1009831A;22330;Inondations et/ou Coulées de Boue;2010-01-05;2010-01-12;7
IOCE1009831A;22320;Inondations et/ou Coulées de Boue;2010-01-05;2010-01-12;7
IOCE1009831A;22313;Inondations et/ou Coulées de Boue;2010-01-05;2010-01-12;7
IOCE1009831A;22300;Inondations et/ou Coulées de Boue;2010-01-05;2010-01-12;7
IOCE1009831A;22294;Inondations et/ou Coulées de Boue;2010-01-05;2010-01-12;7
IOCE1009831A;22289;Inondations et/ou Coulées de Boue;2010-01-05;2010-01-12;7
IOCE1009831A;22266;Inondations et/ou Coulées de Boue;2010-01-05;2010-01-12;7
IOCE1009831A;22260;Inondations et/ou Coulées de Boue;2010-01-05;2010-01-10;5
IOCE1009831A;22322;Inondations et/ou Coulées de Boue;2010-01-05;2010-01-12;7
IOCE1009831A;22074;Inondations et/ou Coulées de Boue;2010-01-05;2010-01-12;7
IOCE1009831A;22202;Inondations et/ou Coulées de Boue;2010-01-05;2010-01-12;7
IOCE1009831A;22001;Inondations et/ou Coulées de Boue;2010-01-05;2010-01-12;7
IOCE1009831A;22005;Inondations et/ou Coulées de Boue;2010-01-05;2010-01-12;7
IOCE1009831A;22009;Inondations et/ou Coulées de Boue;2010-01-05;2010-01-12;7
